xà_rông|n	sarongs_nns;
đồng_bằng|n	delta_nn;
nông_trại|n	farm_nn;
ha|nu	ha_nn;
peter|nb	st.peter_nn;
hiệp_hội|n	associations_nns;
hiệp_hội|n	association_nn;
lang|n	lang_nn;
hoàng|v	mr.hoang_vbg;
thuỵ_sĩ|n	switzerland_nn;
cường|n	cuong_nn;
thạch|n	thach_nn;
thạch|n	thach_nn;
thực_vật|n	plants_nns;
thực_vật|n	flora_nns;
lượn|v	gliding_vbg;
phong_cảnh|n	scenery_nn;
phong_cảnh|n	landscape_nn;
chùa|n	pagoda_nn;
chùa|n	yakcheonsa_nn;
chùa|n	chua_nn;
voi|n	elephant_nn;
voi|n	elephants_nns;
muối|n	salt_nn;
quần_thể|n	complex_nn;
rùa|n	turtle_nn;
loa|n	loa_nn;
cát|n	cat_nn;
cát|n	sand_nn;
bill|n	bill_nn;
nghỉ_ngơi|v	rest_vb;
nghỉ_ngơi|v	stay_vb;
nghỉ_ngơi|v	venice_vb;
uỷ_viên|n	member_nn;
mộc|n	carpentry_nn;
dao|n	dao_nn;
dao|n	knife_nn;
xúc_tiến|v	organized_vbn;
xúc_tiến|v	promotes_vbz;
santa|n	santa_nn;
quê_hương|n	country_nn;
ngày_mai|n	tomorrow_nn;
chu|n	chu_nn;
thầy_cô|n	teachers_nns;
thưởng_thức|v	enjoy_vb;
bia|n	steles_nns;
bia|n	beer_nn;
tiết|n	blood_nn;
sơn|n	son_nn;
singapore|n	singapore_nn;
cơm|n	rice_nn;
cảnh_quan|n	landscape_nn;
cảnh_quan|n	scenes_nns;
phật|n	buddha_nn;
phật|n	buddhist_nn;
phật|n	statues_nns;
nhật_bản|n	japan_nn;
taxi|n	taxi_nn;
phong|n	phong_nn;
luộc|v	boiled_vbn;
chicago|n	chicago_nnp;
nhân_dân|n	authorities_nns;
nhân_dân|n	people_nns;
usd|nu	usd_nn;
ấm|n	teapot_nn;
trang_phục|n	costumes_nns;
ghé|v	stop_vb;
ghé|v	visit_vbp;
khổng|n	confucius_nn;
ngăn|n	compartment_nn;
thi_đấu|v	competed_vbd;
mộ|n	tomb_nn;
mộ|n	tombs_nns;
mộ|n	grave_nn;
lô|n	lo_nn;
xóm|n	ren_nn;
hạnh|n	hanh_nn;
đội|v	wear_vb;
khoe|v	blooming_vbg;
nhà_văn|n	writer_nn;
cáp|n	pole_nn;
cáp|n	cable_nn;
câu_lạc_bộ|n	clubs_nns;
câu_lạc_bộ|n	club_nn;
đốn|v	don_vbp;
tích_hợp|v	integrated_vbn;
mặt_hàng|n	items_nns;
website|n	website_nn;
dốc|n	doc_nn;
dốc|n	slopes_nns;
đất_đai|n	land_nn;
phi_công|n	skiver_nn;
danh_mục|n	lists_nns;
bếp|n	kitchen_nn;
huy_động|v	mobilized_vbd;
cảng|n	port_nn;
cảng|n	wharf_nn;
cảng|n	harbor_nn;
đại|v	passes_vbz;
cán_bộ|n	cadres_nns;
cán_bộ|n	police_nn;
cán_bộ|n	staffs_nns;
cán_bộ|n	cadres_nns;
cán_bộ|n	staff_nn;
cán_bộ|n	managers_nns;
fax|nb	fax_nn;
quảng_châu|n	guangzhou_nn;
chén|n	cup_nn;
thị_xã|n	town_nn;
mặt_nước|n	water_nn;
boston|n	boston_nn;
núi_lửa|n	eruptions_nns;
quận|n	districts_nns;
quận|n	district_nn;
đà|n	da_nn;
pháp_luật|n	law_nn;
dãy|nc	ham_nn;
dãy|nc	range_nn;
nâng_cấp|v	upgrade_vb;
tướng|n	generals_nns;
nối_liền|v	connecting_vbg;
suối|n	stream_nn;
suối|n	streams_nns;
chủ_nhật|n	sunday_nn;
thủ_tục|n	procedure_nn;
thủ_tục|n	procedures_nns;
hang|n	grottoes_nns;
hang|n	cave_nn;
hang|n	grottoes_nns;
điệp|n	diep_nn;
hài_hoà|n	harmony_nn;
buồm|n	windsurfing_nn;
buồm|n	sails_nns;
tôm|n	prawn_nn;
trình_diễn|v	performing_vbg;
tùng|n	tung_nn;
đảng|n	party_nn;
phú|n	phu_nn;
sao|n	stars_nns;
vân|n	van_nn;
quốc_phòng|n	defense_nn;
phú_thọ|N phutho_nn;
quốc_tế|N international_nn;
xuân_sơn|N xuanson_nn;
trung_tâm|N center_nn;
hùng_vương|N hungvuong_nn;
